Cutoff;"1 Thread(s)";"2 Thread(s)";"4 Thread(s)";"8 Thread(s)"
1;46.6205487;23.4998318;13.54201;12.6735677
2;46.6180598;23.4173308;12.3070222;11.1772455
3;46.7336044;23.2282614;12.2606891;11.028891
4;46.6246196;23.2260027;12.2203251;11.0172589
5;46.6296062;23.3830143;12.2972685;11.0312985
