Cutoff;"1 Thread(s)";"2 Thread(s)";"4 Thread(s)";"8 Thread(s)"
1;45.1460914;22.7501928;13.6506742;12.9685971
2;45.1413676;22.75394;11.9837566;11.4389714
3;45.1456615;22.6997169;11.9125347;11.1098348
4;45.1382014;22.6934092;11.8940065;11.05749
5;45.0207899;22.6645778;11.8697447;11.0388396
