Cutoff;"1 Thread(s)";"2 Thread(s)";"4 Thread(s)";"8 Thread(s)"
1;52.9206032;26.6321693;15.8348571;12.0961067
2;52.2628551;26.2866513;14.1653694;11.2925149
3;51.5293654;25.8825888;13.9008986;11.0491953
4;51.1667867;25.6479763;13.7784941;10.9841613
5;51.3236597;25.7094034;13.8234437;10.9409533
